GeoName|GeoId|CDP02_53_EST|CDP02_53_ESTMOE|CDP02_53_PCT|CDP02_53_PCTMOE|CDP02_54_EST|CDP02_54_ESTMOE|CDP02_54_PCT|CDP02_54_PCTMOE|CDP02_57_EST|CDP02_57_ESTMOE|CDP02_57_PCT|CDP02_57_PCTMOE|CDP02_59_EST|CDP02_59_ESTMOE|CDP02_59_PCT|CDP02_59_PCTMOE|CDP02_61_EST|CDP02_61_ESTMOE|CDP02_61_PCT|CDP02_61_PCTMOE|CDP02_63_EST|CDP02_63_ESTMOE|CDP02_63_PCT|CDP02_63_PCTMOE
Conecuh County School District, AL|0100870|2120|287|-888888888|-888888888|2105|295|99.3|1.2|0|20|-888888888|1.8|15|23|0.7|1.2|0|20|-888888888|1.8|0|20|-888888888|1.8
Coosa County School District, AL|0100900|1290|158|-888888888|-888888888|1290|158|100|2.9|0|20|-888888888|2.9|0|20|-888888888|2.9|0|20|-888888888|2.9|0|20|-888888888|2.9
Covington County School District, AL|0100930|3940|231|-888888888|-888888888|3915|237|99.4|0.7|25|28|0.6|0.7|4|6|0.1|0.2|0|24|-888888888|0.9|0|24|-888888888|0.9
Crenshaw County School District, AL|0100960|2340|95|-888888888|-888888888|2215|93|94.7|2.5|85|54|3.6|2.3|0|20|-888888888|1.6|35|41|1.5|1.7|4|6|0.2|0.2
Cullman City School District, AL|0100990|3025|438|-888888888|-888888888|2905|445|96|4.8|120|147|4|4.8|0|20|-888888888|1.2|0|20|-888888888|1.2|0|20|-888888888|1.2
Cullman County School District, AL|0101020|12290|459|-888888888|-888888888|11520|481|93.7|1.9|725|250|5.9|2|45|50|0.4|0.4|0|30|-888888888|0.3|0|30|-888888888|0.3
Dale County School District, AL|0101050|2650|267|-888888888|-888888888|2600|253|98.1|1.7|45|47|1.7|1.8|0|20|-888888888|1.4|0|20|-888888888|1.4|0|20|-888888888|1.4
Daleville City School District, AL|0101080|1540|188|-888888888|-888888888|1430|199|92.9|4.8|90|63|5.8|4.2|0|20|-888888888|2.4|20|30|1.3|2|0|20|-888888888|2.4
Dallas County School District, AL|0101110|3870|340|-888888888|-888888888|3855|341|99.6|0.5|10|17|0.3|0.4|4|8|0.1|0.2|0|24|-888888888|1|0|24|-888888888|1
Decatur City School District, AL|0101170|10070|544|-888888888|-888888888|7765|531|77.1|3.6|2090|343|20.8|3.1|0|30|-888888888|0.4|15|31|0.1|0.3|200|200|2|2
DeKalb County School District, AL|0101140|10775|453|-888888888|-888888888|8175|354|75.9|3.5|2600|449|24.1|3.6|4|2|0|0.1|0|30|-888888888|0.3|0|30|-888888888|0.3
Demopolis City School District, AL|0101200|1210|246|-888888888|-888888888|1210|246|100|3|0|18|-888888888|3|0|18|-888888888|3|0|18|-888888888|3|0|18|-888888888|3
Dothan City School District, AL|0101230|11880|308|-888888888|-888888888|11515|313|96.9|0.7|270|77|2.3|0.7|40|23|0.3|0.2|50|27|0.4|0.2|4|7|0|0.1
Elba City School District, AL|0101260|605|190|-888888888|-888888888|605|190|100|6|0|13|-888888888|6|0|13|-888888888|6|0|13|-888888888|6|0|13|-888888888|6
Elmore County School District, AL|0101290|14100|525|-888888888|-888888888|13525|559|95.9|1.4|420|144|3|1|65|89|0.5|0.6|0|30|-888888888|0.3|90|87|0.6|0.6
Enterprise City School District, AL|0101320|5375|299|-888888888|-888888888|5125|329|95.3|2.6|240|137|4.5|2.6|0|24|-888888888|0.7|4|7|0.1|0.2|0|24|-888888888|0.7
Escambia County School District, AL|0101350|5705|258|-888888888|-888888888|5705|257|100|0.7|4|3|0.1|0.2|0|27|-888888888|0.7|0|27|-888888888|0.7|0|27|-888888888|0.7
Etowah County School District, AL|0101380|10420|516|-888888888|-888888888|10045|526|96.4|2|250|173|2.4|1.6|50|60|0.5|0.6|50|66|0.5|0.6|30|41|0.3|0.4
Eufaula City School District, AL|0101410|2360|244|-888888888|-888888888|1980|221|83.9|6.5|290|132|12.3|5.2|4|9|0.2|0.4|15|23|0.6|1|65|114|2.8|4.7
Fairfield City School District, AL|0101440|1740|380|-888888888|-888888888|1740|380|100|2.1|0|18|-888888888|2.1|0|18|-888888888|2.1|0|18|-888888888|2.1|0|18|-888888888|2.1
Fayette County School District, AL|0101470|2545|158|-888888888|-888888888|2505|158|98.4|2.1|40|54|1.6|2.1|0|20|-888888888|1.5|0|20|-888888888|1.5|0|20|-888888888|1.5
Florence City School District, AL|0101530|5820|462|-888888888|-888888888|5110|473|87.8|2.3|635|111|10.9|2.1|15|20|0.3|0.4|55|37|0.9|0.6|0|27|-888888888|0.6
Fort Payne City School District, AL|0101560|2660|465|-888888888|-888888888|2020|373|75.9|8.6|615|282|23.1|8.8|25|41|0.9|1.5|0|20|-888888888|1.4|0|20|-888888888|1.4
Fort Rucker School District, AL|0100001|1135|215|-888888888|-888888888|930|245|81.9|12.5|205|136|18.1|12.5|0|18|-888888888|3.2|0|18|-888888888|3.2|0|18|-888888888|3.2
Franklin County School District, AL|0101590|3610|281|-888888888|-888888888|3255|257|90.2|5|355|192|9.8|5|0|24|-888888888|1|0|24|-888888888|1|0|24|-888888888|1
Gadsden City School District, AL|0101620|5500|399|-888888888|-888888888|5000|384|90.9|2.8|465|150|8.5|2.6|0|27|-888888888|0.7|35|48|0.6|0.9|0|27|-888888888|0.7
Geneva County School District, AL|0101660|3515|341|-888888888|-888888888|3380|329|96.2|2.1|125|76|3.6|2.1|0|24|-888888888|1.1|0|24|-888888888|1.1|4|10|0.1|0.4
Greene County School District, AL|0101680|1280|177|-888888888|-888888888|1280|177|100|2.9|0|18|-888888888|2.9|0|18|-888888888|2.9|0|18|-888888888|2.9|0|18|-888888888|2.9
Guntersville City School District, AL|0101690|1300|142|-888888888|-888888888|1170|137|90|3.8|65|34|5|2.7|50|34|3.8|2.5|4|7|0.3|0.5|10|12|0.8|1
Hale County School District, AL|0101710|2650|115|-888888888|-888888888|2635|118|99.4|0.8|20|20|0.8|0.8|0|20|-888888888|1.4|0|20|-888888888|1.4|0|20|-888888888|1.4
Haleyville City School District, AL|0101720|1155|234|-888888888|-888888888|1100|234|95.2|4|55|47|4.8|4.1|0|18|-888888888|3.2|4|6|0.3|0.6|0|18|-888888888|3.2
Hartselle City School District, AL|0101730|2650|410|-888888888|-888888888|2535|407|95.7|3.2|110|86|4.2|3.2|0|20|-888888888|1.4|0|20|-888888888|1.4|0|20|-888888888|1.4
Henry County School District, AL|0101740|2790|74|-888888888|-888888888|2725|80|97.7|1.6|45|37|1.6|1.3|20|28|0.7|1|0|20|-888888888|1.3|0|20|-888888888|1.3
Homewood City School District, AL|0101760|4730|450|-888888888|-888888888|4485|418|94.8|2.8|190|119|4|2.4|15|28|0.3|0.6|25|33|0.5|0.7|15|21|0.3|0.5
Hoover City School District, AL|0100007|16065|1040|-888888888|-888888888|14160|913|88.1|2.6|1210|377|7.5|2.3|320|299|2|1.8|305|159|1.9|1|70|73|0.4|0.5
Houston County School District, AL|0101770|6860|294|-888888888|-888888888|6640|298|96.8|1.4|180|85|2.6|1.3|25|19|0.4|0.3|10|18|0.1|0.3|4|4|0.1|0.1
Huntsville City School District, AL|0101800|30525|986|-888888888|-888888888|28235|1020|92.5|1.3|1895|387|6.2|1.3|240|154|0.8|0.5|130|86|0.4|0.3|25|40|0.1|0.1
Jackson County School District, AL|0101830|5820|299|-888888888|-888888888|5715|295|98.2|1.1|95|62|1.6|1|4|2|0.1|0.2|4|10|0.1|0.2|0|27|-888888888|0.6
Jacksonville City School District, AL|0101860|1480|270|-888888888|-888888888|1440|262|97.3|3.4|15|30|1|2|0|20|-888888888|2.5|25|40|1.7|2.7|0|20|-888888888|2.5
Jasper City School District, AL|0101890|2755|347|-888888888|-888888888|2625|372|95.3|5.9|130|165|4.7|5.9|0|20|-888888888|1.3|0|20|-888888888|1.3|0|20|-888888888|1.3
Jefferson County School District, AL|0101920|41500|1562|-888888888|-888888888|38960|1570|93.9|1.2|2385|540|5.7|1.3|90|63|0.2|0.2|20|27|0|0.1|45|58|0.1|0.1
Lamar County School District, AL|0101950|2145|94|-888888888|-888888888|2140|95|99.8|0.5|4|11|0.2|0.6|0|20|-888888888|1.7|0|20|-888888888|1.7|0|20|-888888888|1.7
Lanett City School District, AL|0101980|1180|216|-888888888|-888888888|1080|215|91.5|3.3|105|38|8.9|3.5|0|18|-888888888|3.1|0|18|-888888888|3.1|0|18|-888888888|3.1
Lauderdale County School District, AL|0102010|8225|469|-888888888|-888888888|8085|474|98.3|1.2|105|92|1.3|1.1|20|32|0.2|0.4|15|18|0.2|0.2|0|30|-888888888|0.5
Lawrence County School District, AL|0102040|5610|152|-888888888|-888888888|5385|124|96|1.8|220|100|3.9|1.7|0|27|-888888888|0.7|0|27|-888888888|0.7|0|27|-888888888|0.7
Lee County School District, AL|0102070|10395|827|-888888888|-888888888|10245|833|98.6|1.4|50|70|0.5|0.7|45|69|0.4|0.7|55|84|0.5|0.8|0|30|-888888888|0.4
Leeds City School District, AL|0100011|2430|419|-888888888|-888888888|2310|431|95.1|3.9|115|92|4.7|3.9|0|20|-888888888|1.5|0|20|-888888888|1.5|0|20|-888888888|1.5
Limestone County School District, AL|0102100|10175|589|-888888888|-888888888|9385|606|92.2|2.7|785|277|7.7|2.7|0|30|-888888888|0.4|4|14|0|0.2|0|30|-888888888|0.4
Lowndes County School District, AL|0102160|1750|81|-888888888|-888888888|1725|92|98.6|2.2|25|38|1.4|2.2|0|20|-888888888|2.1|0|20|-888888888|2.1|0|20|-888888888|2.1
Macon County School District, AL|0102190|2415|88|-888888888|-888888888|2390|83|99|1.2|25|29|1|1.2|0|20|-888888888|1.5|0|20|-888888888|1.5|0|20|-888888888|1.5
Madison City School District, AL|0100008|12850|832|-888888888|-888888888|11545|857|89.8|2.9|520|270|4|2.1|285|132|2.2|1|420|197|3.3|1.5|80|89|0.6|0.7
Madison County School District, AL|0102220|24355|1001|-888888888|-888888888|23870|1080|98|1|205|176|0.8|0.7|25|31|0.1|0.1|205|152|0.8|0.6|50|65|0.2|0.3
Marengo County School District, AL|0102250|1590|221|-888888888|-888888888|1590|221|100|2.3|0|18|-888888888|2.3|0|18|-888888888|2.3|0|18|-888888888|2.3|0|18|-888888888|2.3
Marion County School District, AL|0102310|3965|275|-888888888|-888888888|3775|282|95.2|1.7|185|66|4.7|1.7|0|24|-888888888|0.9|4|7|0.1|0.2|0|24|-888888888|0.9
Marshall County School District, AL|0100006|8305|509|-888888888|-888888888|6725|471|81|4|1580|361|19|4|0|27|-888888888|0.4|0|27|-888888888|0.4|0|27|-888888888|0.4
Maxwell AFB School District, AL|0100003|185|43|-888888888|-888888888|180|43|97.3|3.3|4|5|2.2|2.6|0|13|-888888888|18.2|0|13|-888888888|18.2|0|13|-888888888|18.2
Midfield City School District, AL|0102350|1360|268|-888888888|-888888888|1270|293|93.4|7|85|90|6.3|6.9|0|18|-888888888|2.7|0|18|-888888888|2.7|0|18|-888888888|2.7
Mobile County School District, AL|0102370|67075|739|-888888888|-888888888|64320|958|95.9|0.9|1475|362|2.2|0.5|130|76|0.2|0.1|830|248|1.2|0.4|320|215|0.5|0.3
Monroe County School District, AL|0102400|3695|122|-888888888|-888888888|3620|140|98|2|0|20|-888888888|1|0|20|-888888888|1|10|19|0.3|0.5|70|68|1.9|1.8
Montgomery County School District, AL|0102430|37440|372|-888888888|-888888888|34715|460|92.7|1|1805|268|4.8|0.7|210|100|0.6|0.3|600|179|1.6|0.5|115|113|0.3|0.3
Morgan County School District, AL|0102480|8770|502|-888888888|-888888888|8410|492|95.9|1.7|315|168|3.6|1.9|45|56|0.5|0.7|0|30|-888888888|0.4|0|30|-888888888|0.4
Mountain Brook City School District, AL|0102490|4935|440|-888888888|-888888888|4835|437|98|1.9|0|24|-888888888|0.8|70|84|1.4|1.7|30|47|0.6|1|0|24|-888888888|0.8
Muscle Shoals City School District, AL|0102520|2710|373|-888888888|-888888888|2665|378|98.3|1.8|20|35|0.7|1.3|20|29|0.7|1.1|0|20|-888888888|1.4|0|20|-888888888|1.4
Oneonta City School District, AL|0102550|1160|237|-888888888|-888888888|1085|255|93.5|7.7|75|87|6.5|7.7|0|18|-888888888|3.2|0|18|-888888888|3.2|0|18|-888888888|3.2
Opelika City School District, AL|0102580|5140|612|-888888888|-888888888|4465|603|86.9|4.7|500|248|9.7|4.7|140|126|2.7|2.5|35|42|0.7|0.8|0|27|-888888888|0.7
Opp City School District, AL|0102610|1135|211|-888888888|-888888888|1135|211|100|3.2|0|18|-888888888|3.2|0|18|-888888888|3.2|0|18|-888888888|3.2|0|18|-888888888|3.2
Oxford City School District, AL|0102635|4700|478|-888888888|-888888888|4150|464|88.3|4.9|530|237|11.3|4.9|20|35|0.4|0.7|0|24|-888888888|0.8|0|24|-888888888|0.8
Ozark City School District, AL|0102640|2960|282|-888888888|-888888888|2625|295|88.7|5|295|146|10|4.8|15|19|0.5|0.6|25|39|0.8|1.3|0|20|-888888888|1.3
Pelham City School District, AL|0100194|4755|483|-888888888|-888888888|3605|439|75.8|9.9|1010|514|21.2|9.6|0|24|-888888888|0.8|135|110|2.8|2.3|0|24|-888888888|0.8
Pell City City School District, AL|0102650|4445|591|-888888888|-888888888|4375|584|98.4|1.3|20|30|0.4|0.7|50|48|1.1|1.1|0|24|-888888888|0.8|0|24|-888888888|0.8
Perry County School District, AL|0102670|1275|115|-888888888|-888888888|1275|115|100|2.9|0|18|-888888888|2.9|0|18|-888888888|2.9|0|18|-888888888|2.9|0|18|-888888888|2.9
Phenix City City School District, AL|0102700|7340|577|-888888888|-888888888|6785|588|92.4|4.1|445|281|6.1|3.7|30|52|0.4|0.7|75|98|1|1.3|0|27|-888888888|0.5
Pickens County School District, AL|0102730|2810|72|-888888888|-888888888|2695|61|95.9|1.5|115|44|4.1|1.5|0|20|-888888888|1.3|0|20|-888888888|1.3|0|20|-888888888|1.3
Piedmont City School District, AL|0102760|920|239|-888888888|-888888888|900|237|97.8|4.1|20|37|2.2|4.1|0|18|-888888888|4|0|18|-888888888|4|0|18|-888888888|4
Pike County School District, AL|0102790|2670|248|-888888888|-888888888|2530|268|94.8|2.8|120|72|4.5|2.7|20|18|0.7|0.7|0|20|-888888888|1.4|0|20|-888888888|1.4
Randolph County School District, AL|0102820|2705|188|-888888888|-888888888|2605|189|96.3|2.6|85|68|3.1|2.4|10|17|0.4|0.6|0|20|-888888888|1.4|0|20|-888888888|1.4
Roanoke City School District, AL|0102850|855|183|-888888888|-888888888|855|183|100|4.3|0|18|-888888888|4.3|0|18|-888888888|4.3|0|18|-888888888|4.3|0|18|-888888888|4.3
Russell County School District, AL|0102880|5095|463|-888888888|-888888888|4885|455|95.9|2.5|190|126|3.7|2.5|20|33|0.4|0.7|0|24|-888888888|0.7|0|24|-888888888|0.7
Russellville City School District, AL|0102910|2290|402|-888888888|-888888888|1015|334|44.3|10.3|1275|275|55.7|10.3|0|20|-888888888|1.6|0|20|-888888888|1.6|0|20|-888888888|1.6
Saraland City School District, AL|0100185|2965|479|-888888888|-888888888|2965|479|100|1.3|0|20|-888888888|1.3|0|20|-888888888|1.3|0|20|-888888888|1.3|0|20|-888888888|1.3
Scottsboro City School District, AL|0102940|2830|303|-888888888|-888888888|2765|296|97.7|1.5|55|39|1.9|1.3|0|20|-888888888|1.3|10|16|0.4|0.6|0|20|-888888888|1.3
Selma City School District, AL|0102970|3150|349|-888888888|-888888888|3145|348|99.8|0.3|0|20|-888888888|1.2|0|20|-888888888|1.2|0|20|-888888888|1.2|4|9|0.1|0.3
Sheffield City School District, AL|0103000|1460|300|-888888888|-888888888|1450|297|99.3|1.3|10|18|0.7|1.3|0|18|-888888888|2.5|0|18|-888888888|2.5|0|18|-888888888|2.5
Shelby County School District, AL|0103030|25345|689|-888888888|-888888888|23300|787|91.9|2|1545|423|6.1|1.6|20|27|0.1|0.1|140|74|0.6|0.3|340|342|1.3|1.3
St. Clair County School District, AL|0103062|10965|651|-888888888|-888888888|10535|689|96.1|2|420|221|3.8|2|0|30|-888888888|0.3|0|30|-888888888|0.3|10|14|0.1|0.1
Sumter County School District, AL|0103090|1700|84|-888888888|-888888888|1670|87|98.2|2.1|35|34|2.1|2|0|20|-888888888|2.2|0|20|-888888888|2.2|0|20|-888888888|2.2
Sylacauga City School District, AL|0103120|2415|343|-888888888|-888888888|2295|330|95|4.3|115|107|4.8|4.3|0|20|-888888888|1.5|0|20|-888888888|1.5|0|20|-888888888|1.5
Talladega City School District, AL|0103150|2175|363|-888888888|-888888888|2065|347|94.9|4.1|105|93|4.8|4.1|4|9|0.2|0.4|0|20|-888888888|1.7|0|20|-888888888|1.7
Talladega County School District, AL|0103180|7585|437|-888888888|-888888888|7385|434|97.4|1.5|190|110|2.5|1.4|10|11|0.1|0.2|0|27|-888888888|0.5|0|27|-888888888|0.5
Tallapoosa County School District, AL|0103210|3270|379|-888888888|-888888888|3120|378|95.4|4.4|150|144|4.6|4.4|0|24|-888888888|1.1|0|24|-888888888|1.1|0|24|-888888888|1.1
Tallassee City School District, AL|0103240|1305|424|-888888888|-888888888|1305|424|100|2.8|0|18|-888888888|2.8|0|18|-888888888|2.8|0|18|-888888888|2.8|0|18|-888888888|2.8
Troy City School District, AL|0103330|2215|300|-888888888|-888888888|2170|297|98|2.9|0|20|-888888888|1.7|0|20|-888888888|1.7|40|66|1.8|3|0|20|-888888888|1.7
Trussville City School District, AL|0100013|5345|613|-888888888|-888888888|5220|600|97.7|2.6|0|24|-888888888|0.7|25|33|0.5|0.6|105|133|2|2.5|0|24|-888888888|0.7
Tuscaloosa City School District, AL|0103360|13235|998|-888888888|-888888888|12500|1014|94.4|1.8|465|195|3.5|1.5|165|96|1.2|0.7|105|82|0.8|0.6|0|30|-888888888|0.3
Tuscaloosa County School District, AL|0103390|22290|1025|-888888888|-888888888|20845|1042|93.5|1.6|1195|335|5.4|1.5|145|110|0.7|0.5|105|109|0.5|0.5|0|30|-888888888|0.2
Tuscumbia City School District, AL|0103420|1645|360|-888888888|-888888888|1645|360|100|2.3|0|18|-888888888|2.3|0|18|-888888888|2.3|0|18|-888888888|2.3|0|18|-888888888|2.3
Vestavia Hills City School District, AL|0103430|7825|702|-888888888|-888888888|7245|645|92.6|3.3|225|191|2.9|2.4|150|94|1.9|1.2|170|124|2.2|1.6|40|53|0.5|0.7
Walker County School District, AL|0103450|8395|391|-888888888|-888888888|7965|361|94.9|2.2|390|178|4.6|2.1|0|30|-888888888|0.4|40|48|0.5|0.6|0|30|-888888888|0.4
Washington County School District, AL|0103480|2415|107|-888888888|-888888888|2405|109|99.6|0.7|0|20|-888888888|1.5|10|16|0.4|0.7|0|20|-888888888|1.5|0|20|-888888888|1.5
Wilcox County School District, AL|0103510|2040|167|-888888888|-888888888|1965|191|96.3|5.2|0|20|-888888888|1.8|0|20|-888888888|1.8|0|20|-888888888|1.8|70|106|3.4|5.2
Winfield City School District, AL|0103540|1105|278|-888888888|-888888888|1105|278|100|3.3|0|18|-888888888|3.3|0|18|-888888888|3.3|0|18|-888888888|3.3|0|18|-888888888|3.3
Winston County School District, AL|0103580|2515|254|-888888888|-888888888|2515|254|100|1.5|0|20|-888888888|1.5|0|20|-888888888|1.5|0|20|-888888888|1.5|0|20|-888888888|1.5
Alaska Gateway School District, AK|0200050|555|130|-888888888|-888888888|555|130|100|4.4|0|10|-888888888|4.4|0|10|-888888888|4.4|0|10|-888888888|4.4|0|10|-888888888|4.4
Aleutians East Borough School District, AK|0200007|310|46|-888888888|-888888888|295|45|95.2|3.4|0|10|-888888888|7.7|0|10|-888888888|7.7|4|8|1.3|3.6|10|8|3.2|2.4
Anchorage School District, AK|0200180|51680|350|-888888888|-888888888|42530|1001|82.3|1.9|2665|392|5.2|0.8|720|261|1.4|0.5|4360|608|8.4|1.2|1405|480|2.7|0.9
Annette Island School District, AK|0200525|305|64|-888888888|-888888888|305|63|100|7.9|0|10|-888888888|7.9|0|10|-888888888|7.9|4|5|1.3|1.7|0|10|-888888888|7.9
Bering Strait School District, AK|0200020|1775|84|-888888888|-888888888|1510|96|85.1|2.8|0|15|-888888888|1.4|0|15|-888888888|1.4|4|9|0.2|0.6|260|48|14.6|2.9
Bristol Bay Borough School District, AK|0200030|100|35|-888888888|-888888888|100|35|-888888888|21.9|0|10|-888888888|21.9|0|10|-888888888|21.9|0|10|-888888888|21.9|0|10|-888888888|21.9
Chatham School District, AK|0200730|165|58|-888888888|-888888888|150|57|90.9|10.4|0|10|-888888888|14|0|10|-888888888|14|0|10|-888888888|14|10|11|6.1|6.5
Copper River School District, AK|0200070|465|75|-888888888|-888888888|425|76|91.4|9.3|0|10|-888888888|5.2|0|10|-888888888|5.2|0|10|-888888888|5.2|40|44|8.6|9.3
Craig City School District, AK|0200090|160|29|-888888888|-888888888|155|28|96.9|6.6|4|3|2.5|4.6|0|10|-888888888|14.4|0|10|-888888888|14.4|0|10|-888888888|14.4
Delta/Greely School District, AK|0200100|920|100|-888888888|-888888888|685|129|74.5|13.3|75|69|8.2|7.4|130|88|14.1|9.8|35|63|3.8|6.4|0|10|-888888888|2.7
Dillingham City School District, AK|0200120|480|66|-888888888|-888888888|465|67|96.9|3|0|10|-888888888|5.1|0|10|-888888888|5.1|0|10|-888888888|5.1|15|14|3.1|3
Fairbanks North Star Borough School District, AK|0200600|16680|299|-888888888|-888888888|15875|408|95.2|1.8|325|171|1.9|1|175|114|1|0.7|220|131|1.3|0.8|85|81|0.5|0.5
